ISBN,title,author,cover_url,year
0,Love-Hungry Boss,Peggy Gaddis,https://www.pulpinternational.com/images/postimg/bossed_around.jpg,1953
1,The Doctor is a Lady,Beth Myers,"https://m.media-amazon.com/images/I/519ks1cE8hL._SX300_BO1,204,203,200_.jpg",1959
2,Jungle Nurse,Sharon Heath,http://2.bp.blogspot.com/_DmLerN2ZaG0/TGndgB1S3kI/AAAAAAAAACQ/qfHVX1JrjIc/s320/Jungle+Nurse.jpg,1965
3,The Flame and the Flower,Kathleen Woodiwiss,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1305316569i/896623.jpg,1972
4,Hearts Aflame,Johanna Lindsey,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1271183653i/301821.jpg,1987
5,Savage Thunder,Johanna Lindsey,,1989
6,Gentle Rogue,Johanna Lindsey,,1990
7,Warrior's Woman,Johanna Lindsey,,1990
8,Bride of the Wind,"Shannon Drake, Heather Graham",,1992
9,Lovestorm,Judith E. French,,1995